==========================================================
l-BFGS memory length: 5
Maximum number of iterations: 100
Convergence tolerance: 1.00e-08
maximum number of line search: 20
initial step length: alpha=1
==========================================================
iter    fk       fk/f0      ||gk||    alpha    nls   ngrad
  0   5.65e+01  1.00e+00   4.75e+02  1.00e+00    0     0
  1   2.74e+01  4.86e-01   2.45e+02  9.77e-04   10    11
  2   4.64e-01  8.21e-03   3.46e+01  1.95e-03    9    21
  3   9.81e-02  1.74e-03   1.09e+01  9.77e-04   10    32
  4   9.40e-02  1.66e-03   1.05e+01  1.95e-03    9    42
  5   7.97e-02  1.41e-03   8.31e+00  3.91e-03    8    51
  6   5.52e-02  9.77e-04   2.97e-01  9.77e-04   10    62
  7   5.52e-02  9.77e-04   4.39e-01  1.95e-03    9    72
  8   5.51e-02  9.75e-04   9.86e-01  3.91e-03    8    81
  9   5.35e-02  9.47e-04   1.54e+00  3.91e-03    8    90
 10   4.84e-02  8.56e-04   6.16e+00  1.56e-02    6    97
 11   8.49e-03  1.50e-04   1.11e+00  1.95e-03    9   107
 12   7.84e-03  1.39e-04   1.03e+00  1.95e-03    9   117
 13   5.97e-03  1.06e-04   9.78e-01  7.81e-03    7   125
 14   5.38e-03  9.52e-05   7.01e-01  1.95e-03    9   135
 15   4.94e-03  8.75e-05   6.48e-01  3.91e-03    8   144
 16   4.88e-03  8.63e-05   1.01e+00  3.91e-03    8   153
 17   4.07e-03  7.20e-05   2.81e+00  3.12e-02    5   159
 18   1.19e-04  2.10e-06   1.63e-01  1.95e-03    9   169
 19   1.17e-04  2.08e-06   1.42e-01  1.95e-03    9   179
 20   1.12e-04  1.98e-06   2.55e-02  7.81e-03    7   187
 21   1.11e-04  1.97e-06   2.26e-02  1.95e-03    9   197
 22   1.11e-04  1.96e-06   1.31e-01  6.25e-02    4   202
 23   9.86e-05  1.74e-06   2.46e-01  7.81e-03    7   210
 24   4.77e-05  8.44e-07   2.99e-01  7.81e-03    7   218
 25   4.71e-06  8.34e-08   9.15e-02  1.95e-03    9   228
 26   2.22e-06  3.92e-08   5.08e-02  1.95e-03    9   238
 27   1.08e-06  1.91e-08   4.93e-03  1.95e-03    9   248
 28   1.07e-06  1.90e-08   4.18e-03  1.95e-03    9   258
 29   1.06e-06  1.88e-08   2.25e-03  7.81e-03    7   266
 30   1.06e-06  1.87e-08   1.78e-03  1.95e-03    9   276
 31   1.04e-06  1.85e-08   4.64e-03  1.56e-02    6   283
 32   1.00e-06  1.78e-08   1.07e-02  7.81e-03    7   291
 33   8.24e-07  1.46e-08   6.24e-03  6.25e-02    4   296
 34   8.22e-07  1.46e-08   8.40e-04  9.77e-04   10   307
 35   8.22e-07  1.45e-08   1.34e-03  3.91e-03    8   316
 36   8.20e-07  1.45e-08   1.35e-02  6.25e-02    4   321
 37   8.20e-07  1.45e-08   1.48e-02  1.22e-04   13   335
 38   8.00e-07  1.42e-08   2.14e-02  1.56e-02    6   342
 39   8.00e-07  1.42e-08   2.04e-02  6.10e-05   14   357
 40   7.53e-07  1.33e-08   3.04e-03  4.88e-04   11   369
 41   7.52e-07  1.33e-08   1.36e-03  4.88e-04   11   381
 42   7.52e-07  1.33e-08   7.90e-04  4.88e-04   11   393
 43   7.52e-07  1.33e-08   9.74e-04  9.77e-04   10   404
 44   7.52e-07  1.33e-08   3.09e-03  3.91e-03    8   413
 45   7.52e-07  1.33e-08   3.87e-03  2.44e-04   12   426
 46   6.77e-07  1.20e-08   1.99e-02  1.56e-02    6   433
 47   6.22e-07  1.10e-08   3.49e-02  1.95e-03    9   443
==> Convergence reached!
